timestamp,bitcoin_price,bitcoin_volume,bitcoin_market_cap,bitcoin_returns,bitcoin_volatility,score,No_Comments,title_sentiment,description_sentiment,score_lag1,score_lag2,score_lag3,score_lag4,score_lag5,score_lag6,score_lag7,No_Comments_lag1,No_Comments_lag2,No_Comments_lag3,No_Comments_lag4,No_Comments_lag5,No_Comments_lag6,No_Comments_lag7,title_sentiment_lag1,title_sentiment_lag2,title_sentiment_lag3,title_sentiment_lag4,title_sentiment_lag5,title_sentiment_lag6,title_sentiment_lag7,description_sentiment_lag1,description_sentiment_lag2,description_sentiment_lag3,description_sentiment_lag4,description_sentiment_lag5,description_sentiment_lag6,description_sentiment_lag7,sentiment,sentiment1,sentiment2,sentiment3,sentiment4,sentiment5,sentiment6,sentiment7,total_sentiment
2025-02-24,96327.46309127835,16643044374.983364,1909625674815.4763,-0.002451127478150239,0.6289440240146866,1.5,14.0,-0.62714326,-0.9834163,4.0,17.633797462716952,4.0,17.633797462716952,11.0,5.5,12.0,1.0,9.0,7.0,9.0,2.0,17.0,21.0,-0.9736407,-0.59567004,-0.99479455,-0.59567004,-0.9952467,-0.95158875,-0.10855665,-0.8792275,-0.8622826,-0.99282986,-0.8622826,-0.98613405,-0.9256927,-0.9916406,-0.8052798,-0.9264341,-0.7289763,-0.9938122,-0.7289763,-0.99069035,-0.9386407,-0.55009866,-0.83286357
2025-02-25,91396.76686930266,45539703844.38777,1814176779160.4363,-0.051186816965203774,0.6289440240146866,13.0,2.0,-0.97545964,-0.92128867,1.5,4.0,17.633797462716952,4.0,17.633797462716952,11.0,5.5,14.0,1.0,9.0,7.0,9.0,2.0,17.0,-0.62714326,-0.9736407,-0.59567004,-0.99479455,-0.59567004,-0.9952467,-0.95158875,-0.9834163,-0.8792275,-0.8622826,-0.99282986,-0.8622826,-0.98613405,-0.9256927,-0.94837415,-0.8052798,-0.9264341,-0.7289763,-0.9938122,-0.7289763,-0.99069035,-0.9386407,-0.88264793
2025-02-26,88755.7693356979,96742453402.56294,1759750360550.3337,-0.02889596234165903,0.6289440240146866,11.0,2.0,-0.9755265,-0.5185107,13.0,1.5,4.0,17.633797462716952,4.0,17.633797462716952,11.0,2.0,14.0,1.0,9.0,7.0,9.0,2.0,-0.97545964,-0.62714326,-0.9736407,-0.59567004,-0.99479455,-0.59567004,-0.9952467,-0.92128867,-0.9834163,-0.8792275,-0.8622826,-0.99282986,-0.8622826,-0.98613405,-0.7470186,-0.94837415,-0.8052798,-0.9264341,-0.7289763,-0.9938122,-0.7289763,-0.99069035,-0.8586952
2025-02-27,83900.11496524839,69277430795.68657,1664314955447.7466,-0.05470804215649505,0.6289440240146866,17.633797462716952,9.0,-0.59567004,-0.8622826,11.0,13.0,1.5,4.0,17.633797462716952,4.0,17.633797462716952,2.0,2.0,14.0,1.0,9.0,7.0,9.0,-0.9755265,-0.97545964,-0.62714326,-0.9736407,-0.59567004,-0.99479455,-0.59567004,-0.5185107,-0.92128867,-0.9834163,-0.8792275,-0.8622826,-0.99282986,-0.8622826,-0.7289763,-0.7470186,-0.94837415,-0.8052798,-0.9264341,-0.7289763,-0.9938122,-0.7289763,-0.8259809
2025-02-28,84709.14477847965,305190442156.92804,1679555320077.2097,0.00964277359532062,0.6289440240146866,12.0,17.0,-0.9364665,-0.99737334,17.633797462716952,11.0,13.0,1.5,4.0,17.633797462716952,4.0,9.0,2.0,2.0,14.0,1.0,9.0,7.0,-0.59567004,-0.9755265,-0.97545964,-0.62714326,-0.9736407,-0.59567004,-0.99479455,-0.8622826,-0.5185107,-0.92128867,-0.9834163,-0.8792275,-0.8622826,-0.99282986,-0.9669199,-0.7289763,-0.7470186,-0.94837415,-0.8052798,-0.9264341,-0.7289763,-0.9938122,-0.85572386
2025-03-01,84441.9012237131,80695237175.07367,1674754437110.342,-0.0031548371249103813,0.6289440240146866,17.633797462716952,9.0,-0.59567004,-0.8622826,12.0,17.633797462716952,11.0,13.0,1.5,4.0,17.633797462716952,17.0,9.0,2.0,2.0,14.0,1.0,9.0,-0.9364665,-0.59567004,-0.9755265,-0.97545964,-0.62714326,-0.9736407,-0.59567004,-0.99737334,-0.8622826,-0.5185107,-0.92128867,-0.9834163,-0.8792275,-0.8622826,-0.7289763,-0.9669199,-0.7289763,-0.7470186,-0.94837415,-0.8052798,-0.9264341,-0.7289763,-0.8226194
2025-03-02,86005.25629681018,30634474722.6359,1705564098300.8237,0.01851397292625223,0.6289440240146866,17.633797462716952,9.0,-0.59567004,-0.8622826,17.633797462716952,12.0,17.633797462716952,11.0,13.0,1.5,4.0,9.0,17.0,9.0,2.0,2.0,14.0,1.0,-0.59567004,-0.9364665,-0.59567004,-0.9755265,-0.97545964,-0.62714326,-0.9736407,-0.8622826,-0.99737334,-0.8622826,-0.5185107,-0.92128867,-0.9834163,-0.8792275,-0.7289763,-0.7289763,-0.9669199,-0.7289763,-0.7470186,-0.94837415,-0.8052798,-0.9264341,-0.8226194
2025-03-03,94261.53286538439,61859112550.80991,1868321705444.4878,0.09599734858159392,0.6289440240146866,8.0,0.0,-0.35529494,-0.98553574,17.633797462716952,17.633797462716952,12.0,17.633797462716952,11.0,13.0,1.5,9.0,9.0,17.0,9.0,2.0,2.0,14.0,-0.59567004,-0.59567004,-0.9364665,-0.59567004,-0.9755265,-0.97545964,-0.62714326,-0.8622826,-0.8622826,-0.99737334,-0.8622826,-0.5185107,-0.92128867,-0.9834163,-0.67041534,-0.7289763,-0.7289763,-0.9669199,-0.7289763,-0.7470186,-0.94837415,-0.8052798,-0.79061705
2025-03-04,86124.71418722175,68715362745.4567,1708198960874.3418,-0.08632173094175011,0.6289440240146866,17.633797462716952,9.0,-0.59567004,-0.8622826,8.0,17.633797462716952,17.633797462716952,12.0,17.633797462716952,11.0,13.0,0.0,9.0,9.0,17.0,9.0,2.0,2.0,-0.35529494,-0.59567004,-0.59567004,-0.9364665,-0.59567004,-0.9755265,-0.97545964,-0.98553574,-0.8622826,-0.8622826,-0.99737334,-0.8622826,-0.5185107,-0.92128867,-0.7289763,-0.67041534,-0.7289763,-0.7289763,-0.9669199,-0.7289763,-0.7470186,-0.94837415,-0.7810791
2025-03-05,87310.80531078295,65863356680.42408,1731441668069.6523,0.013771785889272525,0.6289440240146866,17.633797462716952,9.0,-0.59567004,-0.8622826,17.633797462716952,8.0,17.633797462716952,17.633797462716952,12.0,17.633797462716952,11.0,9.0,0.0,9.0,9.0,17.0,9.0,2.0,-0.59567004,-0.35529494,-0.59567004,-0.59567004,-0.9364665,-0.59567004,-0.9755265,-0.8622826,-0.98553574,-0.8622826,-0.8622826,-0.99737334,-0.8622826,-0.5185107,-0.7289763,-0.7289763,-0.67041534,-0.7289763,-0.7289763,-0.9669199,-0.7289763,-0.7470186,-0.75365436
