bitcoin_price,bitcoin_volume,bitcoin_market_cap,bitcoin_returns,bitcoin_volatility
96149.3484548204,13634794998.739267,1905012222220.3691,-0.0015924601579346443,0.6173280529655967
95776.15723852723,25324374113.08163,1898997753781.9536,-0.0038813702046928134,0.6173280529655967
95495.89153299287,38311133144.729355,1892702154844.508,-0.0029262575740679475,0.6173280529655967
96554.87156259285,27703222487.389572,1914337919659.5537,0.011089273188617854,0.6173280529655967
98384.31738240314,24175261969.81266,1950376106325.3228,0.018947214057701167,0.6173280529655967
96135.15541305285,42477472950.92155,1906058197506.3809,-0.02286098058299446,0.6173280529655967
96564.15414290235,18464415570.762142,1915260330870.798,0.004462454218815859,0.6173280529655967
96327.46309127835,16643044374.983364,1909625674815.4763,-0.002451127478150239,0.6173280529655967
91396.76686930266,45539703844.38777,1814176779160.4363,-0.051186816965203774,0.6173280529655967
88755.7693356979,96742453402.56294,1759750360550.3337,-0.02889596234165903,0.6173280529655967
83900.11496524839,69277430795.68657,1664314955447.7466,-0.05470804215649505,0.6173280529655967
84709.14477847965,305190442156.92804,1679555320077.2097,0.00964277359532062,0.6173280529655967
84441.9012237131,80695237175.07367,1674754437110.342,-0.0031548371249103813,0.6173280529655967
86005.25629681018,30634474722.6359,1705564098300.8237,0.01851397292625223,0.6173280529655967
94261.53286538439,61859112550.80991,1868321705444.4878,0.09599734858159392,0.6173280529655967
86124.71418722175,68715362745.4567,1708198960874.3418,-0.08632173094175011,0.6173280529655967
87310.80531078295,65863356680.42408,1731441668069.6523,0.013771785889272525,0.6173280529655967
90604.08098523637,51606642859.81411,1797706868227.531,0.03771899323034544,0.6173280529655967
90001.40087607042,47555759124.64708,1782785866811.654,-0.006651798711629353,0.6173280529655967
86773.33597555371,63216440874.73251,1720436931689.2776,-0.03586682950592812,0.6173280529655967
86142.9833586432,18809360803.37126,1708605516770.228,-0.0072643584555524,0.6173280529655967
80751.13893300897,32013406240.51754,1602073794580.0344,-0.06259180046256474,0.6173280529655967
78783.94057934263,49983692766.22745,1563547150147.7332,-0.024361245917513652,0.6173280529655967
82799.1080292053,56404462275.083046,1642997419531.6057,0.050964288157419935,0.6173280529655967
83884.24578828987,41782186208.59073,1662502658717.542,0.013105669673419973,0.6173280529655967
81098.90052436228,32583592654.882656,1608477373718.186,-0.033204629042709044,0.6173280529655967
83971.70916064628,28571483950.074646,1665725559905.8198,0.03542352137586624,0.6173280529655967
84391.69087647168,10761796127.312485,1674173293916.4658,0.00500146680380098,0.6173280529655967
82610.61750343916,21638031633.118767,1638672153483.722,-0.02110484284098013,0.6173280529655967
84075.36559694471,19659366246.596867,1667799227887.438,0.017730748634636084,0.6173280529655967
82780.03048688271,24557570268.85276,1642578274105.806,-0.015406832915503599,0.6888679798078885
86815.44109470697,33871216993.304657,1721565138141.278,0.0487486001646702,0.7133437012307645
84270.84358966233,27579127651.06656,1672550706502.8184,-0.0293104253455182,0.7194087684044188
84009.532917822,18091004975.919056,1666749159154.2927,-0.0031008431945065418,0.717493418608975
83793.30854192551,7771134681.982918,1662574363663.653,-0.0025738076190472414,0.7127616377143182
85787.70914901773,12617587530.619724,1702009594329.4495,0.023801430469765128,0.7163427538459732
87327.72969669085,27270889835.1835,1732715331970.134,0.017951528988820797,0.7196746958317416
87520.58391530563,30351832942.705593,1735368473904.4885,0.0022083961106582617,0.71987516688851
86960.8555491039,25522877558.700558,1724854479045.6724,-0.0063953911315695056,0.6983836888383776
87227.27158032371,24620445368.489468,1729729987159.4822,0.0030636316712566725,0.6911827698863624
84359.46915506005,31674486232.097313,1673182800974.1038,-0.03287736017998477,0.6733783737191529
82679.17255385047,16837439419.924389,1640665503855.1438,-0.01991829273037571,0.6763703008207325
82356.38111183756,13428975108.070734,1633996304187.2593,-0.0039041445631627925,0.6764165015427565
82514.09365397849,30326148749.91535,1635076581047.3545,0.001915000878034645,0.6730975115248937
85237.5876052852,29172899851.734768,1690602036035.04,0.03300640933811416,0.5898132529505767
82526.4221526433,46332905657.77597,1637358764747.381,-0.03180715842401194,0.5191675763190433
83163.98757387721,36594464539.14662,1652537223074.958,0.0077255914482110555,0.5174183355054248
83852.00765399594,35647289400.47406,1664234880198.049,0.008273053038823308,0.4993740828686243
83595.88550177493,14910400035.531416,1656020067997.187,-0.00305445462054843,0.49913232927048007
78211.48358199988,36140377231.68329,1555325260787.2627,-0.06440989155693222,0.5322471438803895
79179.29226757778,82909748172.59216,1581407565278.352,0.012374253002926494,0.5347058081744134
76329.090356324,47812787635.22632,1515042499757.3254,-0.03599680964085705,0.5042181388063314
82622.17029546302,87408220482.11568,1640567909122.172,0.08244667805893258,0.5759070193555367
79596.35732250768,41213520154.25157,1580023209138.0547,-0.03662228869242723,0.5631156398390498
83439.28818043756,39813566443.76779,1655868880454.1702,0.04828023526703795,0.5869845262396791
85305.09728392666,22428929482.069122,1693600655371.0874,0.02236127781260877,0.5790395073135439
83600.82010054543,28731125717.934357,1658923208081.8682,-0.01997860898873105,0.5711361125053808
84523.4524914945,33155578229.343513,1677843510120.269,0.011036164356275968,0.5721508805820562
83656.49248858042,25084671427.622566,1660749023283.0562,-0.010257034909942009,0.568237364860779
84105.77942167096,26948109141.803364,1670497569762.047,0.005370616430659725,0.5652417927970633
84658.01695789606,24941065410.87678,1680694320181.6797,0.006565987973982335,0.5626828620002586
